Altersgruppe;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
00_04;2307543;2303375;2277351;2219493;2150603;2071907;2047659;2040318;2025015;2026458;2024180;1998674;1953682;1909808;1874130;1831560;1797836;1780414;1767755;1749452;1748503;1736476;1739311;1748301;1787940;1856293;1928588;1974218;2014097;2031709;2036084;2040392
05_09;2200758;2229169;2269151;2325183;2364841;2412127;2393292;2337141;2256310;2181733;2089367;2060980;2055853;2044529;2039986;2035528;2000521;1949974;1904962;1869921;1830380;1794595;1787151;1789880;1791964;1835790;1857190;1871418;1882175;1914843;1944171;1996626
10_14;2130280;2189826;2247375;2282319;2305401;2309026;2327435;2345312;2380407;2410954;2443624;2417205;2362254;2284044;2203007;2108459;2070893;2058119;2041802;2035044;2033008;1994982;1954479;1922157;1903744;1901968;1893522;1895259;1904430;1905151;1916110;1925158
15_19;2242735;2152785;2140339;2161467;2189685;2256081;2304455;2342829;2363309;2377093;2365174;2381213;2397934;2433437;2455342;2479805;2441856;2379143;2295761;2214032;2123829;2065083;2072210;2075810;2094653;2189470;2187398;2131312;2082699;2038846;1991487;1975398
20_24;3238629;3120161;2995978;2791669;2588188;2444379;2335429;2280629;2285869;2310422;2363656;2417125;2459625;2476210;2480735;2461472;2461417;2468554;2496201;2516653;2552434;2461144;2428561;2385524;2357904;2398568;2395930;2413076;2415012;2416497;2394221;2364238
25_29;3617299;3674102;3722522;3687965;3590232;3466125;3312685;3107934;2872319;2675238;2521890;2423549;2384438;2393041;2410315;2459058;2489938;2518610;2523056;2522868;2514459;2461861;2506631;2579372;2652021;2798715;2787105;2749822;2695936;2635982;2552806;2545675
30_34;3217500;3342717;3483952;3610308;3699689;3760371;3786050;3758978;3687109;3586199;3450664;3301927;3115225;2893463;2696175;2544755;2432230;2384764;2381693;2394924;2450907;2416196;2476511;2525470;2576055;2647069;2676180;2716697;2784081;2830265;2876938;2865263
35_39;2875762;2946049;3036808;3114035;3206151;3313232;3412644;3499766;3598002;3676292;3720605;3741779;3725201;3662829;3562188;3428625;3272559;3084167;2857095;2660706;2517194;2332560;2317349;2350426;2399445;2507280;2557606;2612793;2653317;2683121;2688873;2717782
40_44;2578044;2714368;2813424;2862711;2894834;2926973;2979773;3028892;3092984;3178198;3273269;3370620;3464579;3567781;3642187;3684927;3698745;3678929;3611539;3510685;3384140;3114159;2950007;2764831;2611144;2518808;2428357;2411226;2438958;2470934;2531208;2580030
45_49;2603013;2403256;2375395;2353780;2389548;2575589;2702305;2778105;2823144;2851041;2876207;2926012;2981222;3049904;3133735;3227463;3320552;3411211;3507476;3575913;3620581;3544505;3535035;3485635;3404196;3302545;3162743;2999227;2812217;2648940;2526278;2435702
50_55;3096654;3145908;3077246;2979580;2828453;2541234;2340993;2304054;2286447;2326249;2506392;2633009;2712435;2760122;2785262;2809663;2856845;2910376;2974555;3053638;3145882;3177326;3271359;3376873;3454804;3510827;3526252;3517989;3470222;3383771;3265131;3127156
55_59;2335568;2453250;2592449;2766492;2885830;2983221;3027752;2952392;2854650;2710122;2433614;2243784;2213763;2202638;2243239;2418017;2539626;2616176;2659741;2681496;2705046;2697374;2754472;2825970;2915733;3012491;3104747;3196294;3297674;3370390;3414124;3430500
60_64;2037026;2077209;2083152;2046611;2101876;2178769;2290637;2422246;2587782;2705347;2801342;2848032;2780420;2690628;2554391;2294228;2115567;2088901;2078987;2118460;2284990;2360335;2432556;2477207;2502129;2529258;2573457;2627990;2695725;2779453;2866561;2953927
65_69;1468839;1487388;1540501;1649276;1750400;1822278;1856400;1859757;1828041;1884154;1961226;2072574;2201864;2360756;2474740;2567623;2613746;2552272;2469600;2345401;2106077;1910291;1889153;1883750;1925969;2080322;2186608;2252151;2291634;2312527;2333788;2371656
70_74;853617;975369;1092268;1183661;1217577;1232384;1253798;1302541;1397492;1485965;1551108;1584122;1591451;1570172;1628184;1706837;1812346;1933383;2079806;2187216;2275092;2291439;2237524;2166358;2059860;1847371;1703714;1684492;1679886;1718280;1854514;1944556
75_79;857998;773378;678099;593537;578543;647156;742946;833910;904245;934383;955446;982712;1029525;1109999;1183437;1239350;1270286;1281058;1271267;1327478;1401043;1473638;1581779;1710150;1811505;1889669;1930680;1884435;1823611;1733030;1551030;1426068
80_84;550671;551977;560840;566399;567082;537607;485275;427419;378569;377550;432423;503089;567538;615494;641468;663195;690150;730162;791628;844367;887633;893057;903793;902105;955114;1019477;1099541;1186669;1287124;1370290;1432318;1459399
85_89;229412;234837;243309;249349;255412;260212;264053;272922;279611;283087;269821;245188;217293;195084;203092;239739;282514;319574;345829;360488;377281;381458;407813;444575;479653;504530;519702;527220;530300;570366;615608;666342
90_;58629;63979;69922;74649;80620;86152;91254;97166;102837;110291;116528;123082;130577;136075;142014;139657;133539;128505;125530;134864;153946;123468;135282;142529;151624;163672;177798;191277;207593;223218;235269;240917
